description,location,price_naira,bedrooms,bathrooms,city,house_type,building_age
3 Bedroom Flat,Old Ikoyi Old Ikoyi Ikoyi Lagos,25000000.0,3.0,3.0,Ikoyi,flat & apartment,Old
2 Bedroom Apartment With Bq,Old Ikoyi Ikoyi Lagos,43000000.0,2.0,2.0,Ikoyi,flat & apartment,Old
2 Bedroom Apartment,Old Ikoyi Old Ikoyi Ikoyi Lagos,43000000.0,2.0,2.0,Ikoyi,flat & apartment,Old
Self Serviced 4 Bedroom Terrace House + Bq,Ahmadu Bello Way Victoria Island Lagos,20000000.0,4.0,4.0,Victoria Island,,Old
Furnished 3 Bedroom Apartment +bq+pool+gym,Old Ikoyi Old Ikoyi Ikoyi Lagos,25000000.0,3.0,3.0,Ikoyi,flat & apartment,Old
4 Bedroom Apartment With Bq,Banana Island Ikoyi Lagos,45000000.0,4.0,4.0,Ikoyi,flat & apartment,Old
Top Floor (8th) 4 Bedroom Apartment+bq+gym+pool Etc,Banana Island Estate Banana Island Ikoyi Lagos,50000000.0,4.0,4.0,Ikoyi,flat & apartment,Old
Premium 3 Bedroom Apartment+bq+tennis+pool X 2yrs,Old Ikoyi Old Ikoyi Ikoyi Lagos,25000000.0,3.0,3.0,Ikoyi,flat & apartment,Old
9 Units Of 3 Bedroom Apartment With Bq,Old Ikoyi Ikoyi Lagos,40000000.0,3.0,3.0,Ikoyi,flat & apartment,Old
2 Bedroom Apartment With Bq,Old Ikoyi Ikoyi Lagos,43000000.0,2.0,2.0,Ikoyi,flat & apartment,Old
3 Bedroom Apartment,Banana Island Ikoyi Lagos,49990000.0,3.0,2.0,Ikoyi,flat & apartment,Old
1 Bedroom Maisonette Executive Experience,"Ezra Court Off Freedom Way, Lekki Lekki Phase 1 Lekki Lagos",140000.0,1.0,2.0,Lekki,maisonette,Old
3 Bedroom Apartment With Bq,Old Ikoyi Ikoyi Lagos,29999999.0,3.0,3.0,Ikoyi,flat & apartment,Old
